Name,2019,2020,% Change
61774923,2908,2272,-22%
61774929,1181,871,-26%
61774930,468,366,-22%
61774931,3406,3474,2%
61774932,4934,4489,-9%
61774933,3288,3110,-5%
61774935,339,306,-10%
61774937,2109,1751,-17%
61774942,3016,1728,-43%
61774947,1780,1813,2%
61774948,4067,3809,-6%
61774949,2276,1858,-18%
61774956,418,394,-6%
61774958,2947,2550,-13%
61774960,5563,4884,-12%
61774961,3277,2029,-38%
61774964,1009,788,-22%
61774966,3559,2246,-37%
61774974,8464,8215,-3%
61774977,2085,1689,-19%
61774988,750,677,-10%
61774989,509,511,0%
61774992,527,485,-8%
64774945,7972,6127,-23%
67074003,819,732,-11%
67074008,1269,1147,-10%
67074009,822,735,-11%
67707005,21287,13849,-35%
67707008,27968,25622,-8%
67707978,15769,12475,-21%
67707985,16454,13194,-20%
67774000,3110,2652,-15%
67774004,1652,1627,-2%
67774010,2305,1978,-14%
67774909,2495,2111,-15%
67774914,1130,1009,-11%
67774916,121,103,-15%
67774919,3141,2445,-22%
67774920,3290,2650,-19%
67774925,5649,5191,-8%
67774927,2398,2393,0%
67774938,1736,1114,-36%
67774943,2992,1545,-48%
67774950,1590,1405,-12%
67774951,3030,2105,-31%
67774957,1556,1308,-16%
67774963,8219,6055,-26%
67774967,3046,1826,-40%
67774973,1492,1192,-20%
67774980,570,545,-4%
67774982,727,625,-14%
67774990,670,551,-18%
67774999,908,701,-23%
