Sdate,Cosit,Study,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,Setup,#Bins,Bins,,,,,,,,,,,,,,,,
3/2/2019 5:00,000052525000,2,60,1,Northbound Lane 1,1,North,75,8192,Checked,32738,16,0,0,0,0,0,0,3,5,22,34,10,0,0,1,0,0,
3/2/2019 5:00,000052525000,2,60,2,Northbound Lane 2,1,North,29,8192,Checked,32738,16,0,0,0,0,0,0,0,0,2,9,14,4,0,0,0,0,
3/2/2019 5:00,000052525000,2,60,3,Southbound Lane 1,2,South,195,8192,Checked,32738,16,0,0,0,0,0,0,1,11,33,92,48,10,0,0,0,0,
3/2/2019 5:00,000052525000,2,60,4,Southbound Lane 2,2,South,82,8192,Checked,32738,16,0,0,0,0,0,0,0,0,0,14,47,18,3,0,0,0,
3/2/2019 6:00,000052525000,2,60,1,Northbound Lane 1,1,North,116,8192,Checked,32738,16,0,0,0,0,0,1,0,7,25,52,25,6,0,0,0,0,
3/2/2019 6:00,000052525000,2,60,2,Northbound Lane 2,1,North,48,8192,Checked,32738,16,0,0,0,0,0,0,0,0,0,19,20,7,2,0,0,0,
3/2/2019 6:00,000052525000,2,60,3,Southbound Lane 1,2,South,290,8192,Checked,32738,16,0,0,0,0,0,0,5,22,42,128,81,9,2,0,1,0,
3/2/2019 6:00,000052525000,2,60,4,Southbound Lane 2,2,South,174,8192,Checked,32738,16,0,0,0,0,0,0,0,0,6,27,91,42,7,1,0,0,
3/2/2019 7:00,000052525000,2,60,1,Northbound Lane 1,1,North,206,8192,Checked,32738,16,0,0,0,0,0,0,1,4,37,104,40,16,4,0,0,0,
3/2/2019 7:00,000052525000,2,60,2,Northbound Lane 2,1,North,70,8192,Checked,32738,16,0,0,0,0,0,0,0,0,1,15,39,11,1,3,0,0,
3/2/2019 7:00,000052525000,2,60,3,Southbound Lane 1,2,South,327,8192,Checked,32738,16,0,0,0,0,0,0,2,17,57,137,89,23,2,0,0,0,
3/2/2019 7:00,000052525000,2,60,4,Southbound Lane 2,2,South,188,8192,Checked,32738,16,0,0,0,0,0,0,0,0,5,30,80,51,18,4,0,0,
3/2/2019 8:00,000052525000,2,60,1,Northbound Lane 1,1,North,338,8192,Checked,32738,16,0,0,0,0,0,0,1,15,85,145,72,16,4,0,0,0,
3/2/2019 8:00,000052525000,2,60,2,Northbound Lane 2,1,North,144,8192,Checked,32738,16,0,0,0,0,0,0,0,0,4,31,65,34,9,0,1,0,
3/2/2019 8:00,000052525000,2,60,3,Southbound Lane 1,2,South,517,8192,Checked,32738,16,0,0,0,0,0,0,0,12,75,241,146,37,5,1,0,0,
3/2/2019 8:00,000052525000,2,60,4,Southbound Lane 2,2,South,357,8192,Checked,32738,16,0,0,0,0,0,0,0,0,2,44,130,136,32,11,2,0,
3/2/2019 9:00,000052525000,2,60,1,Northbound Lane 1,1,North,444,8192,Checked,32738,16,0,0,0,0,0,0,2,14,109,200,91,24,4,0,0,0,
3/2/2019 9:00,000052525000,2,60,2,Northbound Lane 2,1,North,222,8192,Checked,32738,16,0,0,0,0,0,0,0,0,2,44,101,55,12,5,3,0,
